id	sentence	label	tonal_word	textID
0	location - 1 , мегафон , билайн	нейтрально	мтс	1
1000	location - 1 предлагает бизнес-абонентам безлимиты в смарт офисе : новая линейка смарт офис включает в себя ряд тари ...	положительно	мтс	1001
1001	location - 1 в армении начал в ереване эксплуатацию сети скоростью 40 гб с	положительно	ростелеком	1002
1002	в мурманской области прокуратура потребовала ограничить доступ к сайту . поскольку мурманский филиал оао location - 1 должен предоставлять п	отрицательно	ростелеком	1003
1003	location - 1 россия интегрировала зао кодотел в свою структуру	нейтрально	теледва	1004
1004	location - 1 сегодня охохох	нейтрально	мегафон	1005
1005	location - 1 в армении примет платежи через интернет : абоненты компании location - 1 в армении получили возмож ...	положительно	ростелеком	1006
1006	водный интерактив против спама от location - 1	отрицательно	билайн	1007
1007	компания location - 1 ввела в эксплуатацию новые базовые станции в махачкале	положительно	мегафон	1008
1008	друзья , у кого location - 1 ? у вас тоже не все сайты открывает	отрицательно	ростелеком	1009
1009	друзья , у кого-нибудь ловит 4 g location - 1 в москве и области	отрицательно	мегафон	1010
100	самому скоростному оператору самый бодрый ведущий ! ) площадка location - 1 площадь	положительно	мегафон	101
1010	location - 1 теперь спам шлют с обычных номеров ( ( (	отрицательно	билайн	1011
1011	location - 1 и норникель перевели средства в гонконгский доллар location - 1	нейтрально	мегафон	1012
1012	location - 1 расширяет сеть фирменных салонов в свердловской области	положительно	мегафон	1013
1013	location - 1 добрый день , как запретить автоматически активировать обещанный платеж ?	нейтрально	мегафон	1014
1014	финансовые показатели location - 1 за 2 квартал 2014 г .	нейтрально	мегафон	1015
1015	ozon может открыть пункты выдачи товаров в салонах location - 1	нейтрально	мтс	1016
1016	вслед за location - 1 новый приют для своих денег нашли норникель и новатек	нейтрально	мегафон	1017
1017	ozon может открыть пункты выдачи товаров в салонах location - 1	нейтрально	мтс	1018
1018	ozon может открыть пункты выдачи товаров в салонах location - 1 : в пресс-службе location - 1 от комментариев отказались ... .	нейтрально	мтс	1019
1019	кстати , спасибо location - 1 за то что не разорил меня в роуменге ) )	положительно	мегафон	1020
101	location1-отс строит сеть передачи данных для втб 24 в санкт-петербурге	нейтрально	комстар	102
1020	вслед за location - 1 новый приют для своих денег нашли норникель и новатек	нейтрально	мегафон	1021
1021	я этого всю жизнь ждал ! location - 1 ты отстой ! ! !	отрицательно	мегафон	1022
1022	сми : location - 1 и норникель перевели в доллар ( vz . ru )	нейтрально	мегафон	1023
1023	location - 1 пытается вернуть на луганщину связь , но не очень успешно	отрицательно	мтс	1024
1024	location - 1 вновь делает смартфоны доступными	положительно	билайн	1025
1025	еду в location - 1 -банк , будь он не ладен ) раз уж над парижем я фанерой пролетела , надо быть ланнистером . платить , мать их , долги ) ) ) )	отрицательно	мтс	1026
1026	клиенты location - 1 будут получать бонус за автоплатеж до конца amp	положительно	мегафон	1027
1027	location - 1 открывает новый салон связи в златоусте	положительно	теледва	1028
1028	location - 1 такой быстрый , что оповещает в день окончания халявы	отрицательно	билайн	1029
1029	о чудо ! location - 1 заработал местами в тоннелях на таганско-краснопресненской .	положительно	мтс	1030
102	украинские мобильные операторы 5 августа прекращают работу в крыму location - 1	отрицательно	мтс	103
1030	location - 1 вологда объявляет о старте интернет-аукциона по продаже золотых и платиновых номеров	нейтрально	теледва	1031
1031	. location - 1 может выплатить дивиденды в размере 6,2 рубля на акцию	нейтрально	мтс	1032
1032	в location - 1 объяснили причины проблем со связью в луганской области ..	нейтрально	мтс	1033
1033	бесплатная настройка оборудования ? хм , а рояль мне настроите ? : ) foursquare tip location - 1 -ритейл	положительно	мегафон	1034
1034	location - 1 вернется в узбекистан после двухлетнего перерыва	положительно	мтс	1035
1035	компания location - 1 улучшила качество связи и мобильного интернета специально к началу всероссийского фестиваля авторск	положительно	мегафон	1036
1036	меня location - 1 по связи полностью устраивает . инет да , не особо конечно , но пока не хочется связываться с переносом номера	нейтрально	мтс	1037
1037	location - 1 обеспечит интернет-трансляцию выборов в единый день ...	нейтрально	ростелеком	1038
1038	в location - 1 объяснили причины проблем со связью в области : нету света и стреляют	отрицательно	мтс	1039
1039	location - 1 и республика узбекистан пошли на мировую	положительно	мтс	1040
103	справочник location - 1 связи	нейтрально	билайн	104
1040	location - 1 может направить 12,8 млрд рублей на промежуточные дивиденды	нейтрально	мтс	1041
1041	location - 1 975 детальная инструкция location - 1	нейтрально	мтс	1042
1042	пут м посещения офиса на дерендяева , с 9 го августа ( надеюсь : ) ) я на location - 1 ! : )	положительно	мегафон	1043
1043	потому что когда разговор начинается с здравствуйте , компания location - 1 - все либо бросают трубки или говорят мне ничего не надо ...	отрицательно	ростелеком	1044
1044	обещанный кредит location - 1 омск	нейтрально	теледва	1045
1045	в москве появятся уличные экраны с информацией о пробках location - 1	нейтрально	мегафон	1046
1046	и удивилась , зачем тебе ростовский location - 1	нейтрально	мегафон	1047
1047	location - 1 подготовился к нагрузкам в новогоднюю ночь	положительно	мегафон	1048
1048	location - 1 обеспечил вгтрк услугой защиты от ddos-атак	положительно	ростелеком	1049
1049	location - 1 , у меня уже есть телефон : з	нейтрально	мтс	1050
104	location - 1 получилось ) спасибо )	положительно	билайн	105
1050	как мтс , билайн и location - 1 защищают от мобильных мошенников . секреты	положительно	мегафон	1051
1051	контент-провайдеры обязаны согласовывать все новые сервисы с сотовыми операторами , следует из договоров между ними . location - 1 также запреща	нейтрально	мегафон	1052
1052	как location - 1 , билайн и мегафон защищают от мобильных мошенников . секреты	положительно	мтс	1053
1053	location - 1 превысило отметку в 10 миллионов	положительно	билайн	1054
1054	лучше один раз увидеть : location - 1 делает мобильный видео-контент еще доступней	положительно	билайн	1055
1055	опция location - 1 -новости доступна на sim-карте с момента первой регистрации в сети location - 1 . способ отключения указан выше . кн location - 1	нейтрально	мтс	1056
1056	идешь ты такой по магазину и тут фигакс . но не свезло крейгу , location - 1 .	отрицательно	билайн	1057
1057	в location - 1 мне бесплатно обрезали симку , дошел сервис вс же ) ) )	положительно	мтс	1058
1058	raiffeisenbank понизил рейтинг gdr location - 1 до держать и оценку на 6	отрицательно	мегафон	1059
1059	location - 1 ну попробуем : г ростов-на-дону улицы мартовицкого , плиева , ольховский номера домов более 30 . отсутствие качественного соединения 3 g .	отрицательно	мтс	1060
105	купила location - 1 .	нейтрально	мтс	106
1060	как мтс , location - 1 и мегафон защищают от мобильных мошенников . секреты	положительно	билайн	1061
1061	к сожалению , в любом call-центре бывают часы пик , когда очень много клиентов пытаются одновременно дозвониться . кн location - 1	отрицательно	мтс	1062
1062	location - 1 вновь делает смартфоны доступными	положительно	билайн	1063
1063	пионером стал location - 1 .	нейтрально	ростелеком	1064
1064	location - 1 пермь настройки интернета	нейтрально	мтс	1065
1065	location - 1 , ты можешь прекратить выебываться ? . .	отрицательно	мтс	1066
1066	в сибири утроился спрос на lte-гаджеты . компания location - 1 location - 1 ) сообщила о росте популярности мобильных гаджетов с поддержкой	нейтрально	мтс	1067
1067	настройка сим карты location - 1	нейтрально	мегафон	1068
1068	location - 1 - это голландская компания . голландия - страна , раздувающая в европе антироссийскую истерику . location - 1 еще и на деньги выставляет	отрицательно	билайн	1069
1069	финансовые результаты location - 1 соответствуют прогнозам компании	положительно	мегафон	1070
106	location - 1 4 g новый телефон и новые скорости мобильного интернета : - ) location - 1 happines	положительно	мегафон	107
1070	location - 1 : когда интернета под рукой нет , эти номера придут на помощь . сохраните себе подсказку !	нейтрально	билайн	1071
1071	location - 1 увеличил квартальную выручку	положительно	мегафон	1072
1072	здравствуйте . если у вас возникнут вопросы , вы сможете получить инфо , отправив sms на номер 0500 или по e-mail location - 1 . ru	нейтрально	мегафон	1073
1073	заказали обратный звонок location - 1 . так он сам не смог дозвониться . ахахахахахаххахахахахахаха охохохохохохохо . вот это ирония . но вопрос не решен	отрицательно	мтс	1074
1074	образец заявления о расторжении договора в location - 1	нейтрально	ростелеком	1075
1075	это реклама location - 1 хд	нейтрально	ростелеком	1076
1076	у меня 2 номера телефона : location - 1 и киевстар . сейчас я чаще всего сижу на киевстаре . leto	отрицательно	мтс	1077
1077	вологжан приглашают к участию в фотовыставке галерея location - 1 приглашает вологодских профессиональных фотографов и любителей принять	нейтрально	теледва	1078
1078	оао amp laquo location - 1 amp raquo ( nyse : mbt ) , ведущий телекоммуникационный оператор в россии и странах снг , совместно с комитетом по	нейтрально	мтс	1079
1079	качество связи в местах отдыха вологжан улучшилось . вологда location - 1 сообщает о проведенных работах по расширению зоны покрытия и развитию се	положительно	теледва	1080
107	у location - 1 не везде сплошное покрытие базовыми станциями . они сейчас над этим работают . в этом плане у мтс покрытие лучше .	отрицательно	мегафон	108
1080	согаз хорош , location - 1 мог бы уже что-то новенькое сделать .	отрицательно	мтс	1081
1081	драйвера на модем location - 1	нейтрально	билайн	1082
1082	location - 1 ах да , где то уже это было ) координаты места , этажность здания , вид стен , наличие окон в помещении , время звонка , продолжительность	нейтрально	мтс	1083
1083	в location - 1 рассказали , почему на луганщине проблемы со связью : специалисты location - 1 украина делают все возможное для в ... http	нейтрально	мтс	1084
1084	location - 1 раскрыл неоднозначные результаты за 2-й квартал	нейтрально	мегафон	1085
1085	location - 1 раскрыл неоднозначные результаты за 2-й квартал : сегодня , 31 июля , location - 1 первым из большой ...	нейтрально	мегафон	1086
1086	location - 1 раскрыл неоднозначные результаты за 2-й квартал	нейтрально	мегафон	1087
1087	location - 1 location - 1 me прошла неделя , заявку оставил , результат никакой ! ! !	отрицательно	мегафон	1088
1088	что-то не верится , что киевстар нашару в метро интернет провел . тем более , что сам интернет у него не ахти . кажись , у location - 1 получше	положительно	мтс	1089
1089	виктор , мы сможем на это повлиять , зная ваш номер . пож-та , отправьте его и ссылку на твит на location - 1 . ru .	нейтрально	билайн	1090
108	location - 1 обязательно .	нейтрально	мтс	109
1090	почему location - 1 говорит всем , что я недоступна , когда я доступна ? !	отрицательно	мтс	1091
1091	location - 1 раскрыл неоднозначные результаты за 2-й квартал	нейтрально	мегафон	1092
1092	ваше обращение находится в работе . просим немного подождать . кн location - 1	нейтрально	мтс	1093
1093	location - 1 запустила сеть lte в якутске и нерюнгри	положительно	мтс	1094
1094	вся информация о новых тарифных планах размещается на нашем сайте : следите за новостями . кн location - 1	нейтрально	мтс	1095
1095	компания location - 1 подарила мобильную библиотеку брянской областной больнице 1 . виртуальные книжные полки , откуда можно в amp клик скача	нейтрально	мтс	1096
1096	доброго дня ! спасибо за рекомендации , павел ! владимир , мы были бы рады видеть вас в нашей команде location - 1	нейтрально	билайн	1097
1097	тех . анализ - location - 1 : распродажи продолжаются	нейтрально	ростелеком	1098
1098	спасибо location - 1 я тя оч лю , ага	положительно	мтс	1099
1099	скачать оперу location - 1 на телефон	нейтрально	мтс	1100
109	у мегафон не везде сплошное покрытие базовыми станциями . они сейчас над этим работают . в этом плане у location - 1 покрытие лучше .	положительно	мтс	110
10	так как я работаю в location - 1 , позвольте , прокомментирую . очень неприятная ситуация , учитывая то , что произошла ошибка при заполнении договора .	отрицательно	билайн	11
1100	location - 1 : добрый день ! вы правы , это мошенничество ! мы передали в нашу сб . будем разбираться . спасибо за твит , хорошего вам	отрицательно	билайн	1101
1101	ебать location - 1 вы охуели бабки втихаря сдирать . я бля вам покоя не дам пока сука мне 50 к не вернете . и еще же и тех поддержка динамит звонки	отрицательно	мтс	1102
1102	россия входит в число лидеров по блокировке информации в twitter location - 1	нейтрально	мегафон	1103
1103	я не любитель социалок , разве что тви , но предложение разумное . спасибо , location - 1 -ики , теперь моя девушка еще больше в фб : )	положительно	мтс	1104
1104	location - 1 а моральный вред за угрозы будете возмещать во время этого же процесса или надо подавать отдельный иск ?	отрицательно	мтс	1105
1105	location - 1 спасибо за быстрый ответ . я дозвонился до кц . после того как мы поняли , что мою проблему не решить на мой взгляд , логичным путем 1 2	нейтрально	мтс	1106
1106	рекомендуем следить за новостями . информация будет размещена на сайте . кн location - 1	нейтрально	мтс	1107
1107	location - 1 : когда интернета под рукой нет , эти номера придут на помощь . сохраните себе подсказку !	нейтрально	билайн	1108
1108	location - 1 : location - 1 заключил договор с о предоставлении защиты от ddos-атак .	положительно	ростелеком	1109
1109	витрина location - 1 банка в каталоге вознаграждений ! : теперь все владельцы карт location - 1 деньги , участвующие в программе ...	нейтрально	мтс	1110
110	новые тарифы от location - 1 . тариф деревенский : абонентская плата 4 яйца , подключение телега навоза !	отрицательно	мтс	111
1110	витрина location - 1 банка в каталоге вознаграждений !	нейтрально	мтс	1111
1111	пункты выдачи заказов российского интернет-ритейлера ozon в скором будущем могут открыться в салонах связи location - 1 , аналогичные тем , которые ра	нейтрально	мтс	1112
1112	витрина location - 1 банка в каталоге вознаграждений !	нейтрально	мтс	1113
1113	location - 1 сначала пытался через онлайн-чат у вас на сайте . никто не ответил . потом через форму обратной связи .	отрицательно	билайн	1114
1114	жд м всех завтра в 20 : 00 на открытии летнего кинотеатра в городском парке саратова . location - 1	нейтрально	ростелеком	1115
1115	location - 1 поддержал празднование 65-летия города приморско-ахтарска	нейтрально	ростелеком	1116
1116	location - 1 было бы лучше сделать приложение , в котором можно отмечать спам и оно автоматом будет отправлять помеченные данные вам : )	нейтрально	билайн	1117
1117	из рекламы location - 1 : звоните любимым - они на 20 дешевле !	нейтрально	мтс	1118
1118	location - 1 подписала мировое соглашение с узбекистаном , в соответствии с которым оператор планирует возобновить оказание услуг мобильной связи на	положительно	мтс	1119
1119	черт , как же заебала эта херня , тоже location - 1	отрицательно	мтс	1120
111	вслед за location - 1 новый приют для своих денег нашли норникель и новатэк	нейтрально	мегафон	112
1120	ты такая же как location - 1 ... )	нейтрально	билайн	1121
1121	location - 1 location - 1 а когда вот это вот снижение произойд т ? в описании опции вс ещ 350 руб . мес стоит	отрицательно	мегафон	1122
1122	по делу : ozon планирует выдавать заказы в салонах связи location - 1	нейтрально	мтс	1123
1123	location - 1 привет ! есть ли возможность за бонусные баллы подключить опцию интернет по всей россии ?	нейтрально	мтс	1124
1124	образец заявления в location - 1	нейтрально	мтс	1125
1125	а мне магнитик location - 1 подарили )	нейтрально	ростелеком	1126
1126	location - 1 возвращается в узбекистан . конлифкт окончен	положительно	мтс	1127
1127	location - 1 дело не в скоростях , а в частотах . если сеть в b 3 или в b 20 , то 1533 будет работать , если в b 7 - не будет .	нейтрально	мтс	1128
1128	компания location - 1 помирилась с узбекистаном и вернется на узбекский рынок до конца 2014 года	положительно	мтс	1129
1129	location - 1 location - 1	нейтрально	мтс	1130
112	договор аренды части нежилого помещения с location - 1 образец location - 1	нейтрально	билайн	113
1130	если верить оф . сайту и их новостям , то в самарской области , и в тольятти запустили 4 g от location - 1 .	положительно	мтс	1131
1131	так вот location - 1 на 40 снижает стоимость пакета интернет s - магнитогорское информационное агентство	положительно	мегафон	1132
1132	рассмотрим вопрос о компенсации после окончания технических работ . location - 1	нейтрально	билайн	1133
1133	пресс-релиз . location - 1 : обеспечит связью тюменский жк суходолье	положительно	ростелеком	1134
1134	хей , лента , подскажите мне норм интернет на телефон location - 1	нейтрально	мтс	1135
1135	location - 1 вырвался за пределы ограничения в 75 мбит с ! ( запущена поддержка агрегации частот в москве ) !	положительно	билайн	1136
1136	речь о мобильном интернете ? если да , пожалуйста , отправьте нам эту информацию : проверим . кн location - 1	нейтрально	мтс	1137
1137	в пермской мэрии появился еще один начальник из location - 1 : александр хаткевич назначен и . о . начальника гор ...	нейтрально	ростелеком	1138
1138	компания location - 1 location - 1 ) подписала с узбекистаном мировое соглашение , в соответствии с которым возобновит предоставление услу	положительно	мтс	1139
1139	партнер vi открытого фестиваля-конкурса вокалистов полосатый кот - северо-западный филиал оао location - 1	нейтрально	мегафон	1140
113	- 198 рублей . location - 1 ты гавно сраное	отрицательно	мтс	114
1140	советы по ведению финансов в семье и обременяет ли ее цифровое телевидение location - 1	нейтрально	мтс	1141
1141	крайний день перед отпуском location - 1	нейтрально	билайн	1142
1142	чувствую себя человеком , у которого взяли деньги , но не дали плюшек . location - 1 позвоните , пожалуйста , еще раз , 89641887222 .	отрицательно	билайн	1143
1143	lte inter-band carrier а ggregation . location - 1 объединил диапазоны 800 мгц и 2600 мгц в комме ... воронеж	нейтрально	билайн	1144
1144	бесплатное общение с абонентами location - 1 и звонки абонентам других сетей всего 0,75 копеек	нейтрально	мтс	1145
1145	и от location - 1 по оптике есть в 45 тыс . домохозяйствах саратовской области .	нейтрально	ростелеком	1146
1146	х . з . гупает где-то location - 1 лежит , связи нет ни с первомайском ни с теплогорском .	отрицательно	мтс	1147
1147	location - 1 доброе утро , вы можете следовать за мной ? у меня есть вопрос , и я хочу , чтобы проконсультироваться по дм	нейтрально	мтс	1148
1148	ситуация сохраняется при установке sim в другое устройство ? если да , пожалуйста , укажите location - 1 , фио владельца , конт . . кн location - 1	нейтрально	мтс	1149
1149	location - 1 начал создавать систему для интернет-трансляции выборов	нейтрально	ростелеком	1150
114	внеочередное собрание акционеров location - 1 назначено на 22 сентября	нейтрально	мегафон	115
1150	но как можно догадаться , учитывая что это location - 1 - смс не было , надеюсь , за 5 дней они успели поменять 10 цифр в базе .	отрицательно	мтс	1151
1151	у кого-то сегодня вступительные экзамены , у кого-то радость от возвращения location - 1 ... а у нас сегодня день рождения ) ...	положительно	мтс	1152
1152	location - 1 регион москва . затруднения вчера наблюдались весь вечер в районе мкад от волоколамского шоссе до шоссе энтузиастов	отрицательно	мегафон	1153
1153	location - 1 сейчас в наших салонах и интернет-магазине стоит всего 2.490 рублей . подробнее :	положительно	мегафон	1154
1154	маршрутизатора location - 1 настройка	нейтрально	билайн	1155
1155	location - 1 разводит на деньги ! списывает деньги за турбо-кнопку , а через 5 минут ее отключает : ( ( (	отрицательно	мтс	1156
1156	спасибо location - 1 за компенсацию ) ) )	положительно	билайн	1157
1157	скидка 100 рублей location - 1	положительно	мегафон	1158
1158	location - 1 скрестил 4 g-частоты и увеличил скорость до 112 мбит с с помощью	положительно	билайн	1159
1159	location - 1 сервис ipad	нейтрально	мтс	1160
115	тот самый момент , когда даже location - 1 не поздравляет	отрицательно	мтс	116
1160	location - 1 скрестил 4 g-частоты и увеличил скорость до 112 мбит с	положительно	билайн	1161
1161	location - 1 скрестил 4 g-частоты и увеличил скорость до 112 мбит с	положительно	билайн	1162
1162	location - 1 смарт . первый месяц эксплуатации .	нейтрально	билайн	1163
