text	label	rus_entity	text_tok	textID
Но в силу поддержки разных частот, работать американские iPhone 5S/5C будут только в МТС/Билайн.	1	мтс	но в силу поддержки разных частот , работать американские iphone 5 s 5 c будут только в мтс билайн .	1
@Spartak83 мтс,мегафон,биллайн	0	мтс	мтс мегафон билайн	2
@Spartak83 мтс,мегафон,биллайн	0	мегафон	мтс мегафон билайн	3
RT @wylsacom: Но в силу поддержки разных частот, работать американские iPhone 5S/5C будут только в МТС/Билайн.	1	мтс	но в силу поддержки разных частот , работать американские iphone 5 s 5 c будут только в мтс билайн .	4
Как Вы бы выстроили при раздаче ЗВЕЗД операторов СотСвязи:МТС,Мегафон,Билайн?http://t.co/4jsWa4Y97Q http://t.co/ze7PnQWgfM	0	мегафон	как вы бы выстроили при раздаче звезд операторов мтс мегафон билайн ?	5
Как Вы бы выстроили при раздаче ЗВЕЗД операторов СотСвязи:МТС,Мегафон,Билайн?http://t.co/4jsWa4Y97Q http://t.co/ze7PnQWgfM	0	мтс	как вы бы выстроили при раздаче звезд операторов мтс мегафон билайн ?	6
универсальный модем 3g прошивка билайнмтсмегафон в одном модеме http://t.co/FEuEgsrHeY	0	мтс	универсальный модем 3 g прошивка билайн мтс мегафон в одном модеме	7
универсальный модем 3g прошивка билайнмтсмегафон в одном модеме http://t.co/FEuEgsrHeY	0	мегафон	универсальный модем 3 g прошивка билайн  мтс мегафон в одном модеме	8
"если в гугле вписать одного из операторов ""билайн/мтс/мегафон"" и затем ""во..."" автодополнение срабатывает абсолютно у все"	0	мтс	если в гугле вписать одного из операторов билайн мтс мегафон и затем во ... автодополнение срабатывает абсолютно у все	9
@Spartak83 @ORomancev Мегафон для нищебродов!Мтс-олдскул!Билайн терпимо!14 лет его юзаю	-1	мтс	мегафон для нищебродов , мтс это олдскул, билайн терпимо ! 14 лет его юзаю	10
"RT @qyzudakigele: если в гугле вписать одного из операторов ""билайн/мтс/мегафон"" и затем ""во..."" автодополнение срабатывает абсолютно у все"	0	мтс	если в гугле вписать одного из операторов билайн мтс мегафон и затем во ... автодополнение срабатывает абсолютно у все	11
@AppleJesus скажи, теперь можно брать 5s a1533 и LTE будут работать у мтс/билайн?	0	мтс	скажи , теперь можно брать 5 s a 1533 и lte будут работать у мтс билайн ?	12
