text	label	rus_entity	text_tok	textID
Банк России окажет поддержку 3-м отечественным банкам – Россельхозбанку, ВТБ, Банку Москвы – попавшим в санкционный список США. Санкции Ваш	0	банкмосквы	банк россии окажет поддержку 3-м отечественным банкам россельхозбанк , втб , банкмосквы попавшим в санкционный список сша . санкции ваш	1
RT @SvobodaRadio: В санкционный список #США внесены Банк Москвы,ВТБ,Россельхозбанк и Объединенная судостроительная корпорация.Речь не идет …	-1	банкмосквы	в санкционный список внесены банкмосквы втб россельхозбанк и объединенная судостроительная корпорация . речь не идет	2
Международные платежные системы Visa и MasterCard не станут блокировать карты, выпущенные Банком Москвы, ВТБ и Россельхозбанком. Об этом	1	банкмосквы	международные платежные системы visa и mastercard не станут блокировать карты , выпущенные банкмосквы , втб и россельхозбанк . об этом	3
Санкции накрыли банки и корабли.США запретили своим гражданам и компаниям сотрудничать с ВТБ, Банком Москвы, Россельхозбанком и Объединенно	-1	банкмосквы	санкции накрыли банки и корабли . сша запретили своим гражданам и компаниям сотрудничать с втб , банкмосквы , россельхозбанк и объединенно	4
RT @banki_ru: США расширили свой санкционный список в связи с украинским кризисом. Досталось ВТБ, Банку Москвы и Россельхозбанку http://t.c…	-1	банкмосквы	сша расширили свой санкционный список в связи с украинским кризисом . досталось втб , банкмосквы и россельхозбанк	5
"RT @channelone_rus: Visa и MasterCard продолжат работать с ВТБ, Россельхозбанком и Банком Москвы в обычном режиме
http://t.co/AS1qGzZvm1 ht…"	0	банкмосквы	visa и mastercard продолжат работать с втб , россельхозбанк и банкмосквы в обычном режиме ht	6
"RT @GoodGhostRu: ""Наш банк развивается, но сейчас нет технической возможности выслать вам информацию на электронную почту"" #БанкМосквы #сер…"	0	банкмосквы	наш банкмосквы развивается , но сейчас нет технической возможности выслать вам информацию на электронную почту	7
"Центробанк поможет ВТБ и ""Банку Москвы"" справиться с санкциями.Банк России заявил о&amp;nbsp;готовности поддержать ""Россельхозбанк"", ВТБ и&amp;nbsp"	0	банкмосквы	центробанк поможет втб и банкмосквы справиться с санкциями . банк россии заявил о готовности поддержать россельхозбанк , втб и	8
@euromaidan и че? Гражданам России то что с того? Банк Москвы,ВТБ и РСБ в основном базируются в России	0	банкмосквы	и че ? гражданам россии то что с того ? банкмосквы втб и рсб в основном базируются в россии	9
#сбербанк #БанкМосквы наконецто два говнобанка под санкциями! Жаль что без блокировок карт обошлось(	-1	банкмосквы	сбербанк банкмосквы наконецто два говнобанка под санкциями ! жаль что без блокировок карт обошлось (	10
Сбербанк москвы кредиты наличными http://t.co/LoQVOchjO5	0	банкмосквы	В  банкмосквы кредиты наличными	11
