text_tok	label	rus_entity	textID
mask = виктор янукович заявлял , что будет уважать решение суда , - заявил генеральный секретарь совета европы .	1	mask	1
mask = халк более ли менее знает , что я умею : мы все-таки раньше выступали за одну команду . с тем же угловым - мы все это делали еще когда играли в порту . так что он просто очень хорошо подал , а я забил . но как по мне , самая важная вещь сегодня была в том , чтобы просто всем вместе добыть победу . нам это отлично удалось , - рассказал бруну алвеш .	1	mask	2
mask = это позволит нам уменьшить стоимость автомобилей на 20 . фактически это уже было сделано . те автомобили , которые клиенты будут приобретать у дилера в ближайшее время , уже будут с 20-процентной скидкой , - сообщил марков .	1	mask	3
mask = американские организации руководствуются четкой системой координат и правил , в том числе uspatriot act ( федеральный закон , принятый в сша в октябре 2001 года и расширяющий полномочия правительства , полиции и фбр по надзору за гражданами ) , который противодействует отмыванию денег , проникновению каких-либо недобросовестных денег на территорию сша , - сказал business fm слава рабинович , глава представительства компании даймонд эйдж эдвайзорз в россии .	1	mask	4
mask = она была очень спокойная и хорошенькая - гораздо более хорошенькая , чем на фотографиях , - уверена еще одна танцовщица барбара ву .	1	mask	5
mask = она примерила наряд , он ей очень понравился , и вот она в нем , - рассказал королевский ассистент .	1	mask	6
mask = исходя из представленных банком данных , кредитная организация располагает достаточным имуществом для удовлетворения требований кредиторов , - отмечает цб .	1	mask	7
mask = первая выставка , которая пройдет в этом сезоне , будет выставка-ретроспектива славы зайцева , посвященная 30-летию его дома моды и 50-летию творческой деятельности . мы хотим сделать программную выставку , и манеж пригласил очень интересного куратора , - пояснил шумский .	1	mask	8
mask = проведение годовой ремонтной кампании является важнейшим подготовительным мероприятием к успешному прохождению осенне-зимнего максимума нагрузок 2012 -2013 годов , - говорится в пресс-релизе .	1	mask	9
mask = интерес во всем мире к этому очень большой . мода - не только бизнес , но и искусство , - считает шумский .	1	mask	10
mask = мы все следили , как россия отмечает эту дату , и просим передать российским коллегам , что украина тоже эту дату отмечает , - добавил азаров .	1	mask	11
mask = некоторые песни сочинялись очень долго , а некоторые прям вылетали из моих уст практически готовыми , без всяких задних мыслей . не знаю как и почему в моей голове оказалась эта песня , но так уж получилось , - продолжил певец .	1	mask	12
mask = это огромное и интереснейшее исследование будет хорошим пособием студентам , старшеклассникам , а также историкам и краеведам , - добавила она .	1	mask	13
mask = пусть эта книга не будет последней . также хотелось бы пожелать , чтобы псковский музей-заповедник , как сейчас говорят , пропиарил эту книгу . чтобы она дошла до каждого псковича и дальше разошлась по псковской области и , естественно , по всей россии . материал весь выверен , основан на архивных данных , но читается она как хороший бестселлер , - поделилась своими впечатлениями одна из коллег автора .	1	mask	14
mask = псковичи должны знать правду о своем земляке , хотя бы какие-то основные вехи и даты в истории , - отметила она .	1	mask	15
mask = на сегодняшний день мы осуществляем посевную озимых намного интенсивнее , чем в 2011 г . уже засеяно 3,8 млн га , а в планах у нас - 9,5 млн га . уже на сегодняшний день мы на 30 посеяли больше озимых , чем в 2011 г . , - заявил министр .	1	mask	16
mask = проделан большой объем работ , которые уже полностью завершены . в результате в ближайшее время будет начата подача газа значительному количеству абонентов , проживающих в этих районах страны , - отметили в по .	1	mask	17
mask = мы согласны , что руководством для наших коллективных действий в ответ на проблемы и возможности , возникающие в результате многих сложных политических , социальных и экономических преобразований , должно быть верховенство права , поскольку оно является основой дружественных и равноправных отношений между государствами , а также основой строительства справедливых и равноправных обществ , - говорится в декларации .	1	mask	18
mask = мы работаем в том же режиме . и в белове , насколько я знаю , все в порядке . и билеты у них продают , на перроне в том числе , - сообщили в справочной службе кемеровского автовокзала .	1	mask	19
mask = мы обсуждали эту ситуацию с нашими подзащитными , которые , как и мы , считают , что девушки в достаточной мере принесли свои извинения на суде , сказав все , что посчитали нужным , - сообщил адвокат николай полозов .	1	mask	20
mask = кроме того , считаю необходимым рассмотреть вопрос о предоставлении налоговых льгот и преференций предприятиям на весь период строительства рыбопромысловых судов . эти меры позволили бы начать масштабную модернизацию всего дальневосточного рыбопромыслового флота , - отметил в . илюхин .	1	mask	21
mask = я горд , что работаю в течение 22 лет с такими вот человеком . надеюсь , что эта книга людмилы николаевны порадует не только псков , но и всю россию , - сказал он .	1	mask	22
mask = главным нашим интересом является вступление в нато и евросоюз , так как лучшего демократического института , чем ес , и лучшей международной организации , чем нато , в мире пока не существует . но я смогу совместить хорошие отношения с россией и евроатлантический путь грузии , - заявил лидер грузинской оппозиции в эфире местного 9-ого канала .	1	mask	23
mask = мы просто хотели показать то , как мы ценим их . они прекрасны , прекрасны . идеально подходят друг другу , - полагает она .	1	mask	24
mask = а в апреле 2013 года начнутся активные переговоры по проекту строительства железной дороги китай - киргизия - узбекистан , - подытожил он .	1	mask	25
mask = одно из новых направлений деятельности компании это предоставление сервисов для жителей по типу многофункционального центра . чтобы посетитель , заглянувший задать вопрос или оформить заявление , мог здесь же решить и множество других своих вопросов . список компаний , которые хотели бы разместить своих специалистов в районных отделениях ерц , постоянно растет , - рассказала заместитель директора единого расчетного центра елена береснева .	1	mask	26
mask = одновременно за счет сокращения обслуживающих структур будет развиваться авиация , пво , высокомобильные десантные войска , механизированные и танковые войска сухопутных войск , ракетные войска но и артиллерия . значительное внимание уделяется и развитию вмс , - говорит генерал-майор .	1	mask	27
mask = например , в 2013 году мы планируем выставку французского художника даниэля бюрена , который недавно был в гран пале в рамках программы monumenta . в планах - выставки британского художника питера дойга и знаменитого граффитиста бэнкси . то есть , мы будем выставлять крупнейших современных художников , - сказала лошак .	1	mask	28
mask = мероприятие , скорее всего , будет проведено , но маршрут под вопросом , - сказал собеседник агентства .	1	mask	29
mask = данный проект - далеко не первый из совместно реализованных с группой компаний сибпромстрой . уверен , что новые ипотечные условия являются привлекательными для наших клиентов , и много семей обзаведется новыми комфортабельными квартирами , соответствующими всем стандартам качества , - отмечает директор сургутского филиала банка олег мызгин .	1	mask	30
mask = по итогам встречи был подписан меморандум о сотрудничестве между оао национальная электрическая сеть кыргызстана и корпорацией tbea , в рамках которого предусмотрено строительство линии электропередачи между киргизией и китаем , - сообщил сапар исаков .	1	mask	31
mask = наш ракетный потенциал таков , что мы сможем уничтожить любого врага в регионе , - добавил салами .	1	mask	32
mask = мы начали еще в прошлом октябре и постоянно получаем от жителей благодарности после внедрения услуги электронной очереди , - отметил силкин .	1	mask	33
mask = в этом году покупаем в учреждения здравоохранения 94 комплекта высокотехнологического оборудования , в том числе десять томографов . жители почувствуют положительные изменения уже в ближайшее время , - подчеркнул силкин . префект добавил , что до конца года все 34 поликлиники в округе полностью подключат к системе электронной записи . мы начали еще в прошлом октябре и постоянно получаем от жителей благодарности после внедрения услуги электронной очереди , - отметил силкин .	1	mask	34
mask = она уже сегодня-завтра будет передана в правительство для утверждения , - добавил он .	1	mask	35
mask = мы верим , что обладание возможностью развивать этот коридор в интересах азербайджана и туркменистана , - сказал он .	1	mask	36
mask = это большое достижение , одно из самых больших в моей жизни , - заявил занарди после после победы на паралимпиаде .	1	mask	37
mask = в локауте я вижу плюсы . в первую очередь наши ребята будут не тренироваться на стороне , а получат хорошую практику в кхл . это кандидаты в сборную россии , которым выступать на олимпиаде . мы этих хоккеистов и так знаем , но теперь рассмотрим со всех сторон . будем ли приглашать энхаэловцев на ноябрьский этап евротура ? надо подумать . может , кого-то и возьмем , но решение примем ближе к ноябрю . безусловно , в этом турнире мы должны использовать как можно больше игроков кхл . но если локаут затянется надолго , в декабре постараемся собрать команду , которую мы увидим на олимпиаде в сочи , - цитирует билялетдинова советский спорт .	1	mask	38
mask = да , мы действительно купили хороших игроков , которые помогут зениту . но разве они настолько сильнее нынешних , - задался вопросом и . денисов . кроме этого , футболист сообщает , что просил организовать ему встречу с алексеем миллером , председателем правления оао газпром , с целью донести свою позицию до высшего руководства .	1	mask	39
mask = вчера газпром подписал с японскими партнерами соглашение о сжижении газа . этот проект имеет все шансы превратиться в очень большой по мировым меркам , - сказал путин .	1	mask	40
mask = как известно , состоялся первый раунд переговоров по упрощению визового режима . мы готовимся к очередному раунду . в ближайшие недели состоится очередной этап переговоров , - отметил он .	1	mask	41
mask = воссоединяясь , мы полагаем в основу нашего бытия и развития миролюбие и мораль , веру в добро , принципы фундаментальной справедливости , равенства , достоинства , стремление к счастью и благополучие нашего единого народа . наше развитие и будущее будет строиться на взаимоуважении с другими народами , взаимообогащая наши культуры и делая жизнь лучше , комфортнее и безопаснее , - сказано в документе .	1	mask	42
mask = мы , наследники тысячелетней истории и великой цивилизации , опыта созидания , добрососедства , воинской доблести и сотрудничества наших предков , объединенные общей культурой и совместной деятельностью по обустройству и защите нашей земли , при воссоединении возьмем все самое лучшее из практического опыта нашего народа , - говорится в хартии .	1	mask	43
mask = я думаю , что понижение ставки возможно , так как оно укрепит количественное смягчение , запуск которого тоже вероятен , и напомнит рынкам о том , насколько серьезны намерения ецб , - рассказал cnbc управляющий партнер независимой консалтинговой компании family office research and management .	1	mask	44
mask = программа развития западного пригорода киева предусматривает целостную концепцию развития по примеру лучших курортно-рекреационных регионов европы . а это , в первую очередь , прозрачные правила ведения бизнеса , снятие всевозможных бюрократических преград для инвестирования , фактическое упразднение коррупционной составляющей в административной деятельности . по подсчетам экпертов , работавших над программой , инвестиционный эффект от ее реализации составит 200 млн долл . , что будет весомым вкладом в создание новых рабочих мест в регионе и в повышение благосостояния граждан , - заявил войцех .	1	mask	45
mask = витамины , закаливание - это хорошо , но единственная специфическая защита против гриппа - прививка . у тебя появляется иммунитет от актуального вируса , - отметил он .	1	mask	46
mask = я высоко оцениваю молодежь за умение вести диалог и принимать решения по вопросам , достойным обсуждения мировых лидеров . и я передам эстафету молодежного саммита другим членам руководящего совета , и надеюсь , они поддержат идею о продолжении молодежного саммита атэс , - сказал губернар .	1	mask	47
mask = это выдающаяся дата в истории и российского , и украинского народов , - сказал премьер в среду , выступая на открытии в выставки в национальном историко-культурном заповеднике киево-печерской лавра .	1	mask	48
mask = мы проехали всю сибирь , сейчас добрались до волги и очень рады , потому что начало теплеть , - заявил пономарев .	1	mask	49
mask = в рамках мероприятия действует экскурсионное бюро : краеведы историко-культурологического проекта москва , которой нет проводят для всех желающих бесплатные экскурсии по саду эрмитаж . в читальне открыта экспозиция из истории городского отдыха , где представлены редкие фотографии из архивов проекта , - сообщила пресс-служба столичного департамента молодежи .	1	mask	50
mask = шансы краснодара принять матчи чемпионата мира очень высокие . по имеющейся у меня информации , столица кубани входит в группу городов , где подготовка к чемпионату и выполнение всех условий не вызывает опасений , - сообщил р-спорт мэр краснодара владимир евланов .	1	mask	51
mask = след , который он ( армстронг ) оставил на луне , выдающимся образом отразился на всех обычных американцах , - процитировал	1	mask	52
mask = это уже третий по счету фестиваль , и мы не остановимся на этом . подобные мероприятия будут продолжать проводить во владивостоке . я очень рад видеть всех гостей фестиваля , мы встречаем их по-дружественному , создаем позитивную обстановку и будем болеть за всех , - сказал игорь пушкарев , открывая мероприятие .	1	mask	53
mask = результатом , конечно , я не могу быть полностью довольна . в предварительном ( забеге ) я пробежала намного лучше , чем в финале . но сейчас было большое волнение , соперники достойные . выступать в финале было очень тяжело именно морально . очень хотелось лучше выступить , чем в предварилке , но не получилось ( улыбается ) . главное , что прибежала первая . вообще я думала , что на этой дистанции какую-то медаль завоюю , здорово , что удалось выиграть золото . паралимпийское золото - самое высокое достижение . я пока даже не могу передать свои чувства ... сбылась моя мечта . больше некуда мечтать , - сказала иванова корреспонденту агентства р-спорт .	1	mask	54
mask = мировой рекорд никогда до конца нельзя предугадать . олеся ( владыкина ) подошла к паралимпиаде в хорошей форме , что и доказала сегодня в финальном заплыве , проплыв по своему личному результату , что и позволило ей в итоге установить мировой рекорд . вообще , атмосфера в команде замечательная , уже завоеван ряд медалей нашими спортсменами . в олимпийской деревне созданы все условия для ребят по части восстановления , отдыха , питания , - сказал строкин .	1	mask	55
mask = я счастлив в зените . нападающий зенита халк выразил желание работать на благо своей новой команды . вместе с тем он подчеркнул : его поддерживают новые партнеры по команде . - прежде всего я хочу работать и отдавать все силы на благо команды зенит , что я и делал с тех пор , как оказался в россии . все мои мысли связаны с тем , чтобы быть в форме и показывать футбол высокого качества и при этом помогать своей игрой команде . больше ни о чем стараюсь не думать . я чувствую поддержку абсолютно всех членов команды , стараюсь как можно быстрее адаптироваться к команде и санкт-петербургу . думаю , со временем я адаптируюсь , конечно , определенные трудности создает тот факт , что в россии говорят на другом языке . тем не менее в команде я чувствую себя прекрасно , ощущаю поддержку абсолютно всех игроков зенита и остальных работников клуба . я счастлив играть за зенит , - приводит риа новости слова халка .	1	mask	56
mask = ты уже один раз показал нам путь к звездам . теперь ты паришь в небесах , там , где не летают даже орлы , и можешь прикоснуться к богу , - произнес , прощаясь с коллегой ,	1	mask	57
mask = все реально понимают , что в городе сочи при подготовке к олимпийским играм подготовлена вся инфраструктура , вся логистика , даже построен стадион на 40 тысяч зрителей , в котором будут проводиться церемонии открытия и закрытия олимпийских игр , а потом он несколько модернизируется , и к 2018 году там уже будет 46 тысяч зрителей . и это даст возможность нам уже сегодня иметь привилегии перед другими городами , - рассказал риа новости мэр сочи анатолий пахомов .	1	mask	58
mask = слоган зимних игр в сочи , на мой взгляд , удачно выражает многообразие национального характера россии , при этом он получился очень личным , близким каждому . слоган сочи 2014 говорит , что нельзя не участвовать , нельзя не смотреть , нельзя не переживать , и стоит гордиться потому , что это наши игры , - цитирует президента оргкомитета сочи-2014 дмитрия чернышенко пресс-служба .	1	mask	59
mask = мы готовы поставлять продукты питания ( цитрусовые , молочные , орехи , вино ) и закупать нефть , пиломатериалы и другое , - подытожил он .	1	mask	60
mask = у евреев есть такая древняя традиция помогать тем , кто нуждается . она предписывает мне делиться с теми , кто живет хуже меня . мы собираем пожертвования в европе и реализуем благотворительные программы в странах бывшего ссср . годовой бюджет составляет около 250 тысяч евро . биробиджан очень далеко , но и ему постараемся помочь , - сказал раймонд гуггенхайм .	1	mask	61
mask = мы обязательно свяжемся с вашим волонтером валерией булкиной и определимся , какую помощь сможем вам оказать . понимаю , что больше всего вы нуждаетесь в деньгах , но , возможно , это будет и что-то другое , - пообещал раймонд гуггенхайм .	1	mask	62
mask = за все наши помещения - аренду и коммунальные услуги - платит мэрия города . муниципалитет также содержит штат организации из пяти человек , тоже инвалидов . мы проводим праздничные мероприятия , организуем спортивные занятия и кружки художественной самодеятельности , - сообщила любовь пан сю тан .	1	mask	63
mask = предлагаемое решение позволит уменьшить незаконное перемещение через таможенную границу таможенного союза в рамках евразэс , либо госграницу рф с государствами - членами тс в рамках евразэс стратегически важных товаров и ресурсов , а также повысит величину поступлений в доходную часть бюджета в виде таможенных платежей , - говорится в пояснении .	1	mask	64
mask = он приехал к своей пастве , потому что большинство моряков верующие люди . какое же здесь сращивание ? это , если хотите , пасторский , миссионерский визит , - подчеркнул он .	1	mask	65
mask = это очень значимое событие . думаю , что подготовка и издание экономической энциклопедии является показателем развития науки и экономики азербайджана . в ближайшее время ожидается торжественная презентация энциклопедии , - отметил он .	1	mask	66
mask = доля основного горноспасательного оборудования со сроком эксплуатации менее десяти лет по итогам 2015 года будет составлять около 100 , - уточнил представитель ведомства .	1	mask	67
mask = в связи с этим мы решили удовлетворить желания граждан и опубликовать рецепт , - сказал помощник шеф-повара белого дома сэмюел касс .	1	mask	68
mask = безусловно , президент будет смотреть церемонию , - сообщил риа новости пресс-секретарь главы государства дмитрий песков .	1	mask	69
mask = в 2013 году мы не потратим ни на евро больше , чем в 2012-м , - заявил франсуа олланд .	1	mask	70
mask = мы предлагаем отмечать вместе эту дату , - сказал азаров , выступая в среду на торжественном открытии выставки украина в войне 1812 года .	1	mask	71
mask = арендуемое за счет бюджета жилье может дать вологодчине серьезное конкурентное преимущество перед другими регионами страны . это механизм закрепления молодого специалиста за конкретным медицинским учреждением в действии , - цитирует пресс-служба губернатора региона олега кувшинникова .	1	mask	72
mask = представители барсы сообщили нам , что хотят продлить соглашение . они намерены улучшить финансовые условия контракта . мы очень благодарны клубу за это и надеемся , что у не возникнет никаких трудностей , - цитирует as агента хави ивану корретху .	1	mask	73
mask = поэтому мы должны начинать диалог с россией с восстановления торговых и культурных отношений , - считает миллиардер .	1	mask	74
mask = я рад тому , что обсуждаются в обществе меры , направленные на защиту религиозных чувств и защиту почитаемых людьми предметов и мест , я рад тому , что сфера межнациональной политики становится очень значимой не только в выступлениях , но и в мерах , которые принимаются государственными деятелями , - сказал накануне глава синодального отдела московского патриархата по взаимоотношениям церкви и общества , протоиерей всеволод чаплин .	1	mask	75
mask = в настоящее время все политические силы страны должны объединить свои усилия для укрепления национального единства , упрочения гражданского мира и согласия , сплочения российского народа на основе наших традиционных духовных ценностей , чему может способствовать дальнейшее религиозное просвещение общества , включая соответствующую духовно-воспитательную работу среди молодежи , - говорится в документе .	1	mask	76
mask = мы уверены в том , что не потеряем ни одного голоса , так как у нас уже создана система по защите голосов , - сказал лидер грузинской оппозиции .	1	mask	77
