text	label	text_tok	rus_entity	textID
"RT @channelone_rus: Visa и MasterCard продолжат работать с ВТБ, Россельхозбанком и Банком Москвы в обычном режиме
http://t.co/AS1qGzZvm1 ht…"	0	visa и mastercard продолжат работать с втб , россельхозбанк и банкмосквы в обычном режиме ht	банкмосквы	1
RT @SvobodaRadio: В санкционный список #США внесены Банк Москвы,ВТБ,Россельхозбанк и Объединенная судостроительная корпорация.Речь не идет …	-1	в санкционный список внесены банкмосквы втб россельхозбанк и объединенная судостроительная корпорация . речь не идет	банкмосквы	2
RT @xohicuwadipu: #банк москвы телефон http://t.co/cMirTZaIMv	0	телефон банкмосквы	банкмосквы	3
Речь идет о ВТБ, Банке Москвы и Россельхозбанке. Ранее в июле, когда были введены ограничения в отношении ВЭБа и Газпрома, банк России такж	0	речь идет о втб , банкмосквы и россельхозбанк . ранее в июле , когда были введены ограничения в отношении вэба и газпромбанк , банк россии такж	банкмосквы	4
#сбербанк #БанкМосквы наконецто два говнобанка под санкциями! Жаль что без блокировок карт обошлось(	-1	сбербанк и банкмосквы наконецто два говнобанка под санкциями ! жаль что без блокировок карт обошлось (	банкмосквы	5
RT @banki_ru: США расширили свой санкционный список в связи с украинским кризисом. Досталось ВТБ, Банку Москвы и Россельхозбанку http://t.c…	-1	сша расширили свой санкционный список в связи с украинским кризисом . досталось втб , банкмосквы и россельхозбанк	банкмосквы	6
"Первый канал
Visa и MasterCard продолжат работать с ВТБ, Россельхозбанком и Банком Москвы в обычном режиме

http://t.co/1rawBtQSH0."	1	первый канал visa и mastercard продолжат работать с втб , россельхозбанк и банкмосквы в обычном режиме	банкмосквы	7
2013г #банки-#партнеры #Москва #гарантийный #фонд лидеры по выданному #МСП #финансированию #Сбербанк #БанкМосквы #ПСБ http://t.co/8TWUKtoTUg	0	2013 г лидеры по выданному сбербанк банкмосквы	банкмосквы	8
Минфин США запретил предоставлять кредиты ВТБ, Россельхозбанку и Банку Москвы на срок более 90 дней http://t.co/Wy277nQmIP #news	-1	минфин сша запретил предоставлять кредиты втб , россельхозбанк и банкмосквы на срок более 90 дней	банкмосквы	9
США ввели санкции против трех российских банков (Банка Москвы,ВТБ,Россельхозбанка)http://t.co/VbXphnO0E4	-1	сша ввели санкции против трех российских банков ( банкмосквы втб россельхозбанк )	банкмосквы	10
