text	label	rus_entity	text_tok	textID
@Spartak83 мтс,мегафон,биллайн	0	мтс	мтс , мегафон , билайн	1
@Spartak83 мтс,мегафон,биллайн	0	мегафон	мтс , мегафон , билайн	2
@Spartak83 @ORomancev Мегафон для нищебродов!Мтс-олдскул!Билайн терпимо!14 лет его юзаю	-1	мтс	мегафон для нищебродов , мтс олдскул , билайн терпимо ! 14 лет его юзаю	3
@mkomov Максим, Вашем письмо мы получили. Наши сотрудники свяжутся с Вами завтра и направят запрос инженерам для проверки. #билайн	0	билайн	максим , вашем письмо мы получили . наши сотрудники свяжутся с вами завтра и направят запрос инженерам для проверки . билайн	4
МегаФон в «Твоем формате»	0	мегафон	мегафон в твоем формате	5
@kartofeel че-то у Мегафона, вроде, нету :(	-1	мегафон	че-то у мегафон , вроде , нету :(	6
"RT @tweewhores: Люблю МТС
Трафика 0,а могу сидеть в вк и тви 
И фотки кидать иногда"	1	мтс	люблю мтс трафика 0 , а могу сидеть в вк и тви и фотки кидать иногда	7
ВымпелКом объявил о старте строительства  крупнейшего в России Центр поддержки клиентов	1	билайн	билайн объявил о старте строительства крупнейшего в россии центр поддержки клиентов	8
RT @lasletarkeytai: Смартфон MegaFon Optima стал еще доступнее	1	мегафон	смартфон мегафон optima стал еще доступнее	9
Настройки интернет ростелеком нижний новгород http://t.co/lnFBWSzfkP	0	ростелеком	настройки интернет ростелеком нижний новгород	10
Так как я работаю в Билайн, позвольте, прокомментирую. Очень неприятная ситуация, учитывая то, что произошла ошибка при заполнении договора.	-1	билайн	так как я работаю в билайн , позвольте , прокомментирую . очень неприятная ситуация , учитывая то , что произошла ошибка при заполнении договора .	11
#Луганск частный сектор между гор.ОР и маг.Донбасс: МТС ловит периодически, смс доходят. Телефон на 58 работает. Света нет, вода и газ есть	1	мтс	частный сектор между гор . ор и маг . донбасс : мтс ловит периодически , смс доходят . телефон на 58 работает . света нет , вода и газ есть	12
«МегаФон» присвоил своей базовой станции имя двукратной олимпийской чемпионки Анны Богалий	0	мегафон	мегафон присвоил своей базовой станции имя двукратной олимпийской чемпионки анны богалий	13
